title,pricebucks,price,image,description
Toyota Land Cruiser,$ 125 000,10 990 000 сом,https://im.mashina.kg/tachka/images//b/9/1/b91db558886496a48ed0a403cf869181_240x180.jpg,"2021г.,3.4л.,автоматвнедорожник5дв.,бензинрульслева,10000км"
Land Rover Range Rover,$ 75 000,6 594 000 сом,https://im.mashina.kg/tachka/images//a/5/7/a575314e48f1a3633738845cf4190b71_240x180.jpg,"2017г.,4.4л.,автоматвнедорожник5дв.,дизельрульслева,98000км"
Toyota Highlander,$ 43 800,3 850 896 сом,https://im.mashina.kg/tachka/images//f/c/5/fc5c658b75b35c25d234264eb3cbea60_240x180.jpg,"2020г.,2.5л.,автоматвнедорожник5дв.,гибридрульслева,13595км"
Mercedes-Benz CLA,$ 23 000,2 022 160 сом,https://im.mashina.kg/tachka/images//2/2/d/22da748f6ceb8e55960e1ca9d0ce438d_240x180.jpg,"2016г.,2.1л.,роботседан,дизельрульслева,250000км"
Mercedes-Benz C-Класс,$ 27 500,2 417 800 сом,https://im.mashina.kg/tachka/images//6/3/2/6322c7ee3d963fec921af2bdf001b4a4_240x180.jpg,"2016г.,2.1л.,автоматседан,дизельрульслева,104000км"
Lexus RX,$ 49 000,4 308 080 сом,https://im.mashina.kg/tachka/images//a/9/e/a9ee06884568125a59b8ae35e177192e_240x180.jpg,"2018г.,3.5л.,вариаторвнедорожник5дв.,гибридрульслева,101677км"
BMW X7,$ 88 000,7 736 960 сом,https://im.mashina.kg/tachka/images//5/7/f/57f8ac88b737e6000f831855b76acc33_240x180.jpg,"2019г.,3л.,автоматвнедорожник5дв.,бензинрульслева,40000км"
Mercedes-Benz M-класс,$ 26 500,2 329 880 сом,https://im.mashina.kg/tachka/images//5/f/0/5f0a3aca5b1e149e68dc05e0b10fd587_240x180.jpg,"2013г.,3.5л.,автоматвнедорожник5дв.,бензинрульслева,92000км"
Hyundai Sonata,$ 12 500,1 099 000 сом,https://im.mashina.kg/tachka/images//4/5/2/4521f801588911de7c4d318881468a7a_240x180.jpg,"2018г.,2л.,автоматседан,газрульслева,200000км"
Toyota Camry,$ 19 500,1 714 440 сом,https://im.mashina.kg/tachka/images//f/8/5/f85b4f4d7368b439544e9d6571dfc3f0_240x180.jpg,"2017г.,2.5л.,автоматседан,бензинрульслева,10280км"
Honda CR-V,$ 23 300,2 048 536 сом,https://im.mashina.kg/tachka/images//4/7/3/473cd36e28b177d2f5919895ad6dd89c_240x180.jpg,"2017г.,1.5л.,вариаторвнедорожник5дв.,бензинрульслева,61000км"
Kia Carnival,$ 19 500,1 714 440 сом,https://im.mashina.kg/tachka/images//0/3/8/0387eddc77595001097fcf7da8245b01_240x180.jpg,"2016г.,2.2л.,автоматминивэн,дизельрульслева,177000км"
Hyundai Santa Fe,$ 22 000,1 934 240 сом,https://im.mashina.kg/tachka/images//9/0/e/90e425f92ed98a0922011602961c5fc8_240x180.jpg,"2016г.,2.2л.,автоматвнедорожник5дв.,дизельрульслева,96000км"
Hyundai Santa Fe,$ 38 500,3 384 920 сом,https://im.mashina.kg/tachka/images//e/c/c/eccd29ea78b34b20b9904cc6e4048d59_240x180.jpg,"2020г.,2.2л.,роботвнедорожник5дв.,дизельрульслева,69000км"
Toyota Land Cruiser Prado,$ 25 500,2 241 960 сом,https://im.mashina.kg/tachka/images//d/d/1/dd1e46b6941804ce841dd3b7f0f2eb93_240x180.jpg,"2013г.,2.7л.,автоматвнедорожник5дв.,бензинрульслева,230000км"
BMW X7,$ 125 000,10 990 000 сом,https://im.mashina.kg/tachka/images//7/1/5/71549565f4b0ec3b970d43974738e56d_240x180.jpg,"2021г.,3л.,автоматвнедорожник5дв.,дизельрульслева,46000км"
